TAC,manufacturer,model,aka,os,year,lte
100100,Mitsubishi,G410,,Proprietary,,0
100200,Siemens,A53,,Proprietary,,0
100300,Sony Ericsson,TBDAAB,TBDAAB-1880030-BV,Proprietary,,0
100400,Nokia,RM,RM-669,Symbian,,0
100500,Motorola,M930 NA DB,,Proprietary,,0
100600,Panasonic,EBX700,,Proprietary,,0
100700,Sagem,Test IMEI for multiple prototype models,Test IMEIFrequency Bands may not match,Proprietary,,0
100800,Philips,TCD718,,Proprietary,,0
100900,Sony,Test IMEI for multiple prototype models,Test IMEIFrequency Bands may not match,Proprietary,,0
101000,Casio Hitachi Mobile,Test IMEI for multiple prototype models,Test IMEIFrequency Bands may not match,Proprietary,,0
101300,Nortel,LMU,,Proprietary,,0
101500,Sharp,GX,GX-28,Proprietary,,0
101600,Tct Mobile Suzhou,ALCATEL OT,ALCATEL OT-807A,Proprietary,,0
101700,Wavecom,Wireless CPU Q2687,,Proprietary,,0
101710,Wavecom,WMO2,WMO2-g1900,Proprietary,,0
101800,Novatel Wireless Inc,Ovation MC547,,Proprietary,,0
102000,Research In Motion,RAP40GW,,Proprietary,,0
102100,Shintom Coltd,MX,MX-5010,Proprietary,,0
102200,Intel,Zoarmon,,Proprietary,,0
102300,Samsung,SGH,SGH-t829,Proprietary,,0
102400,Telular Corp,Telguard 5TG5,,Proprietary,,0
102500,Option International,Fizgig,,Proprietary,,0
102600,Nec America,KMP6J1S1,KMP6J1S1-6,Proprietary,,0
102700,Sierra Wireless,USB316,,Proprietary,,0
102800,Danger Inc,U1,,Proprietary,,0
102900,Quanta Computerinc,Ferry,,Proprietary,,0
103000,Intermec Technologies Corp,700C,,Proprietary,,0
103100,Sendo Ltd,K1,,Proprietary,,0
103200,Psion Teklogix Inc,7525 Workabout pro,,Proprietary,,0
103300,Benefon Oyj,Benefon Track Box,,Proprietary,,0
103500,Lg,AD600,,Proprietary,,0
103600,Enfora,GSM5108,,Proprietary,,0
103700,Trimble,TM3000,TM3000-C ATD,Proprietary,,0
103800,Sanyo,G1000,,Proprietary,,0
103900,Accetioinc,AGM 1100,,Proprietary,,0
104100,Mirae Comm Co,ITH155 MGH900,,Proprietary,,0
